"","Valence Evaluation","Equality","Formality and Regulation","Concreteness","Goods Exchange","Coercion","Activeness","Activity Intensity","Communal Sharing","Uniqueness","Service Exchange","Importance for society","Endurance","Trust","Socioemotional","Expected Reciprocity","Love Expression","Generation Gap","Importance for individuals","Synchronicity","Attachment","Intimacy","Strategic","Information Exchange","Mating","Affiliation Coalition","Spatial Distance","Visibility","Money Exchange","Conflict","Negotiation","Occupational","Morality"
"演员-编剧",72.125,44.125,72.375,63.625,58.5,30.375,66.375,41.75,23.5,34.75,74.125,47.25,41.625,70.75,27.5,70,27.75,32.125,44.5,69.625,30.5,21.5,78.125,63,6,68.5,64,76.25,70.875,31.625,76.25,91.375,67.625
"演员-观众",76.4444444444444,23.5555555555556,62.6666666666667,79.6666666666667,68.1111111111111,12.7777777777778,57.7777777777778,13.8888888888889,7.66666666666667,4.55555555555556,94.3333333333333,32.1111111111111,8.11111111111111,21.7777777777778,25,42.1111111111111,10.1111111111111,29.3333333333333,18.3333333333333,85.1111111111111,12.7777777777778,9.22222222222222,50.5555555555556,35.8888888888889,9.22222222222222,28.8888888888889,82.4444444444444,79.8888888888889,90.6666666666667,15.5555555555556,28.7777777777778,91.5555555555556,60
"演奏家 - 听众",91.5555555555556,48.6666666666667,43.3333333333333,53.5555555555556,44.1111111111111,3.44444444444444,82.7777777777778,23.2222222222222,21.3333333333333,19.2222222222222,89.5555555555556,26.5555555555556,24,46.8888888888889,27.6666666666667,58.1111111111111,21.1111111111111,11.1111111111111,30.1111111111111,94.4444444444444,20.7777777777778,24.2222222222222,46.3333333333333,36,14,47.2222222222222,73.4444444444444,78.6666666666667,71.2222222222222,8.55555555555556,33.3333333333333,82.2222222222222,57.3333333333333
"爷爷奶奶-孙子女",96.3333333333333,5.33333333333333,23.2222222222222,27.5555555555556,7.44444444444444,18.2222222222222,81.1111111111111,68.8888888888889,80.5555555555556,74.4444444444444,62.2222222222222,81.2222222222222,96.5555555555556,93.3333333333333,90.5555555555556,28.5555555555556,86.3333333333333,91.7777777777778,82.7777777777778,38.2222222222222,88.1111111111111,78.6666666666667,12.4444444444444,88.4444444444444,74.6666666666667,73.5555555555556,86.8888888888889,85.6666666666667,7,6.66666666666667,22.3333333333333,2,88.3333333333333
"主治医生-病人",90.6666666666667,60.1111111111111,62.5555555555556,67.8888888888889,62.1111111111111,17.7777777777778,47.8888888888889,26.4444444444444,17.3333333333333,8.77777777777778,88.5555555555556,68.7777777777778,27.7777777777778,79.7777777777778,23.8888888888889,59.1111111111111,42.4444444444444,18.5555555555556,52.6666666666667,79,42.3333333333333,24.2222222222222,53.4444444444444,87.2222222222222,2.44444444444444,47.4444444444444,81.2222222222222,74.2222222222222,81.8888888888889,20.7777777777778,52.6666666666667,95.1111111111111,85.5555555555556
"姨父姨妈-侄子侄女",75,20.7,25.1,27.5,10.3,8,53,54.9,67.8,69.4,15.3,32.7,87.6,63.6,78.5,30.3,69.6,76.9,41.8,25,55.3,53.9,20.9,59.2,17.1,52.5,56.8,77.7,23.5,21.1,51,6,65.2
"见义勇为者-受助者",87,63.625,21.125,53.75,33.375,15.5,69.375,29.375,77.625,31.625,64.875,33.125,15.25,66.25,52,20,50.25,26.875,45.875,52.25,30.25,44.75,25.5,48.25,20.125,40.375,58.5,47.375,41.625,11.375,50.25,15.75,82.75
"金主 - 援交男/女",73.375,21,61.875,82.25,69.875,43.875,54.25,50,17.75,21.5,82.5,12.5,16.25,23.875,17.25,65.375,23.375,42.625,24.25,63.75,29.625,55.875,72,40,57.125,31.125,72.75,22.75,89.875,35.25,38.125,87,23.75
"经理-老板",83.2222222222222,34.7777777777778,68.2222222222222,87,64.4444444444444,21.1111111111111,60.8888888888889,52.3333333333333,27.2222222222222,20.8888888888889,69.1111111111111,51.8888888888889,48.5555555555556,67,12.2222222222222,49.5555555555556,8.88888888888889,31.5555555555556,40.2222222222222,63.2222222222222,27.4444444444444,13.5555555555556,69,66,7.88888888888889,72.5555555555556,66.6666666666667,83.6666666666667,76.1111111111111,25,58.7777777777778,91.7777777777778,65.6666666666667
"经理-员工",69.5,13.375,64.375,81.5,75.875,51.375,55.875,76.875,24.25,28,87,33.25,44.5,51.875,19.125,74.125,18.375,67.125,40.75,72.25,32.875,26.75,69.625,62.875,11,65.125,82.75,81.625,87.375,27,22.625,83.75,63.375
