,Valence.Evaluation,Equality,Activity.Intensity,Socioemotional,Formality.and.Regulation,Intimacy,Visibility,Communal.Sharing,Expected.Reciprocity,Strategic,Concreteness,Uniqueness,Love.Expression,Information.Exchange,Money.Exchange,Goods.Exchange,Service.Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance.for.society,Importance.for.individuals,Affiliation.Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial.Distance,Morality,Trust,Generation.Gap,cl_k3
Godparent and Godchild,75.3528752112085,39.4325620367287,60.3118487993488,71.0972285430619,37.4998718873719,52.4307061765395,59.9124124332458,69.2441285566286,47.7684557726224,35.3891656183323,41.0770343853677,62.0812660333494,66.5998096039763,62.3602142456309,29.3404611592112,34.7191468253968,33.6023619127786,63.1973274410774,26.9248707311207,20.9986371653038,38.2071248196248,20.1514500160333,51.205371017871,63.7748706540373,63.1552461427462,27.109815338982,60.2897910731244,74.480243676077,57.8048838507172,56.1346155387822,78.5508801383801,71.5990139490139,70.2778826112159,0
Step-grandparent and Step-grandchild,62.7897967772968,33.6072338155671,58.1961746586747,67.3522566939234,38.1769551436218,53.8910265660266,56.3438882105549,68.6448724115391,45.3938251563251,33.9492154450488,42.8447734364401,62.3183311287478,63.7752374939875,59.4466229757897,26.7003146544813,33.2052649510983,31.2803651595318,65.0365760782427,29.2052178531345,25.8144771123938,36.837186347603,23.1014500160334,56.0614470406137,65.14527000777,60.238102329769,23.3956059372726,57.6495587745588,69.4834821043154,58.1922784006117,55.9213991255658,76.8839538547872,66.7796724880058,86.5214845339845,0
Ancestor and Descendant,73.6942901234568,31.4356401314735,48.9529180695847,62.2048460798461,48.1847382555716,36.7335016835017,61.438145342312,60.678032307199,42.1046957671958,30.8017175725509,37.2107764149431,66.2554713804714,57.6519640852974,54.3445486612153,27.1037678371012,27.2121051787718,29.3445887445887,52.956892336059,47.9369207952541,27.8077801827802,31.03107663941,22.6210978835979,64.4422432505766,68.1013992180659,66.4760070176737,29.1934878393212,45.7118603618604,82.1626694293361,41.2425731675732,43.5526051109385,81.6986194361195,68.5944401277735,90.8181384973052,0
Bride and Groom,86.0412177328844,85.5204445246112,88.7174583132916,84.7782186948854,27.7864177489177,90.176905964406,64.3273007856341,88.1122715247715,70.5937089145422,31.8686568061568,53.4431958473625,85.4261123136123,98.3621973705307,89.5758577841911,45.3925685425685,46.420999679333,44.0199354657688,97.134626022126,91.1066317941318,36.1383537758538,63.4099446849447,23.6127605419272,66.7142232767233,89.4721953971954,83.9989508947842,31.2778414486748,87.8350180683514,80.3166487833154,83.6084982918316,88.8766913641914,89.7578022286356,90.6871571329904,27.9919363044363,0
Man and His Mistress,65.1822470739137,50.7263407888408,64.7666927208594,72.3664502164502,28.2026936026936,80.9788760622094,16.9752465127465,45.4916305916306,59.6142255892256,47.8691939233606,56.2277737694404,69.2264029180696,75.6292308000641,64.8934644059644,54.9816798941799,50.4715127465127,49.9404481321148,71.5379709796376,79.8102693602694,43.105942360109,57.6362594195927,32.145037678371,30.3908272283272,58.988575621909,56.3464224047557,27.3321972780306,71.712956025456,45.9626274959608,64.5718260134927,63.6927802136135,26.6844508886176,53.2928301636635,31.8173550215217,0
Man Wife and Man Mistress,35.0802348885682,41.5907828282828,40.9940295815296,54.9790784832452,41.0064253647587,37.0220498637165,27.0126623376623,34.6257094757095,38.7245991662658,55.3320426487093,43.9321308321308,65.8404761904762,45.1802709636043,39.9892636684303,32.7957792207792,37.1964907006574,28.4297077922078,37.8934143017476,39.2081469456469,74.1528038319705,36.8158509700176,41.5646304312971,30.9768868477202,47.4801191092858,38.5221015096015,23.8609826901494,46.0820662362329,38.6552853011186,45.313780355447,44.9574087949088,32.9075954909288,34.5924344174344,33.1320127403461,2
Brother and Sister,72.6851871893539,73.4962762546096,79.3756814173481,78.7778639570306,26.5556617764951,52.5674663299663,70.2493165784832,76.7320246111913,64.2445847362514,31.1067259900593,47.260435706269,82.9937890812891,85.7472101972102,80.2571949655283,32.9422158088825,40.5978314894982,36.2658690075357,84.2165023248357,21.2969416386083,40.7313532146865,49.9912838704505,25.6880411255411,68.3264118597452,86.623063048063,77.9258930883931,30.6362941071274,73.3805618763952,91.8407963949631,72.2752687127687,76.7318981943982,90.2113983238983,86.3281766073433,38.7511389844723,0
Between step-siblings,51.6662217412217,60.9870630912298,55.772278338945,61.963955026455,34.3400432900433,38.8667428250762,61.0758597883598,62.0763908930575,54.8784712201379,36.8095518678852,42.3007816257816,67.4007255090589,61.2486592111592,62.0829866121533,26.5948713323713,34.2573412698413,30.064740660574,58.9763868847202,19.976144380311,47.387481962482,42.5230780022447,25.889898989899,52.6722917514584,67.6673584131917,56.0616553199887,26.3353099061432,55.336847720181,68.8335430002097,57.2163907080574,61.5178107386441,79.11762327179,64.4623954748955,39.9393715852049,0
Between distant relatives,55.1757415424082,58.3641053391053,32.9392496392496,50.9385261343595,49.7468915343915,30.6405343113676,57.2723424723425,44.1729597562931,50.1557339265673,43.286069023569,42.2677689594356,51.9165023248357,45.9562169312169,40.6768819143819,24.4983245149912,30.6741201699535,26.5107483565817,40.5839245630912,23.4257675966009,36.1951058201058,34.1716350008017,21.5082391374058,43.0855988147655,50.5602459269126,45.4464817589818,27.0257759216093,41.5197521614188,66.4718600843601,44.1828993537327,33.1199058657392,76.187549025049,53.1526191401191,59.8284655159655,2
Between close relatives,77.4315556357223,67.0981200897867,76.7402577360911,79.5275953984287,30.5031545614879,49.1226511143178,65.5429693763027,75.0844195927529,64.6253848003848,35.5815716690717,49.7162297578964,74.1044652877986,80.9059283309283,74.6790784832451,33.1207411415745,39.105303030303,36.5072170113837,76.1857643899311,26.4863936988937,36.1436046977714,46.9237654320988,22.4640732724066,65.3070090403424,81.4370445912113,72.8880721130721,28.8157116032116,69.9085773794107,87.2392903392903,67.407327703161,68.1928463511797,86.8936722228389,80.0404882154882,56.6471824471824,0
Between twins,77.515203623537,88.4557399390733,87.6701418951419,84.2100769600769,24.063772647106,72.889277697611,58.5947490780824,85.9167949334616,64.2780022446689,25.0065416065416,41.0199575116242,89.2826580826581,89.9299032757366,82.8898992982326,20.4909980451647,29.7409966576633,23.5911446578113,94.9981427523094,25.3102078477078,33.6386913038229,46.7403941737275,19.0824703074703,45.0129953379953,84.2833737250404,82.2380805922473,21.3995023495024,79.2582345124012,93.310384985385,78.1144733353067,86.6658104241437,87.3363847572181,92.2055350513684,22.8318306693307,0
Between a person and their family friends,83.4342352092352,69.3059523809524,72.9720097803431,80.014289722623,32.2318662818663,62.9604016354016,62.2846801346801,78.8055475388809,65.2389209555876,32.2652717652718,44.661684303351,57.8816620108287,79.1786332494666,73.425435367102,25.6728683353683,31.1393048309715,28.9775816775817,79.2109422984423,30.9751282667949,34.5649552364465,45.0868011618012,21.6332332790666,57.7255244755245,80.5976205892873,73.3461368878035,23.635707656541,76.2984031400698,79.7848803973804,65.747298997299,70.6478478311812,82.2794162627496,82.3800187466854,49.972724035224,0
Between a person and their deceased spouse,72.6880792047459,64.0073593073593,65.1544091710758,75.8463644380311,26.8559002725669,69.1105579605579,38.2413780663781,74.6473023889691,48.3868686868687,25.1039842873176,33.1618326118326,76.8301721426721,87.5808070016403,44.8702632244299,24.1343977010644,23.4449322282656,20.2519602311269,86.4139519431186,58.417731651065,21.0756358326534,27.5221358888026,16.3293712460379,42.2434479101146,73.7818932610599,62.7397095188762,18.9203415411749,47.3302005093672,74.9090950715951,46.5854142770809,40.8658691617025,78.3994684328018,74.1876424501424,27.0843904552238,0
Manager and Staff,63.6385802469136,29.736544011544,49.8645222061889,28.7546536796537,81.4737574154241,30.1827160493827,76.6009058842392,31.3205627705628,60.9926046176046,79.8516153599487,71.9132515632515,33.4651223776224,23.142681701015,76.2381060297727,78.087033645367,48.4445986112653,72.4395407062074,31.2323155239822,18.8483598191932,52.5508844631652,62.2944254819255,39.9539778123111,65.2584338501005,58.6666242707909,59.2332505457506,88.1101784018451,62.6356347356347,49.7565379065379,61.1460713669047,58.2409212700879,71.7134290092623,60.3361303819637,54.1446645946646,1
Foreman and Laborer,58.6934263267596,31.0159371492705,45.9227192560526,28.7120210036877,77.3029461279461,28.1482002565336,75.1895422478756,30.5089225589226,57.8241382074715,78.9165424082091,70.5256132756133,39.6822691197691,21.2343292509959,70.0418834252168,79.5517601225934,47.6542434417434,77.1742911409578,30.2679814013147,15.9476116476116,53.8885236352342,59.1806850556851,43.5745478287145,61.052893711227,54.5717358259025,57.1123601706935,86.0804518012852,59.7926363759697,44.3612270445604,59.6113398946732,56.9407675657676,67.5658212158212,57.8849929391596,50.4725442767109,1
Owner and Manager,61.9976270642937,33.318089626423,48.112987012987,28.4187510020843,79.851771685105,28.2772847522847,70.7707351290685,31.5905804072471,60.9111391694725,80.9294572711239,71.8990901074234,45.1701355743022,20.6596744305078,75.4115056240056,80.799991366658,48.9450484700485,74.8538396788397,30.6286038036038,18.1096849138516,50.2295385008104,64.7094131177465,39.0533008658009,63.2161714828382,57.0298542506876,60.77277999778,87.4011687386688,60.9022454397454,51.6670855379189,60.0602594935928,56.3789420456087,68.9734262650929,63.7544082460749,50.4501578668245,1
