,Age,Gender,Race,Race_alternative,Highest education,First language,Gender_label,Race_label,Highest education_label
374,33,1,1,,5,עברית,female,White,Post-secondary non-tertiary education
375,25,1,1,,6,עברית,female,White,Short-cycle tertiary education
376,25,2,1,,5,"עברית, אנגלית",male,White,Post-secondary non-tertiary education
377,22,1,1,,5,עברית,female,White,Post-secondary non-tertiary education
378,23,1,1,,5,עברית,female,White,Post-secondary non-tertiary education
379,38,2,1,,5,hebrew,male,White,Post-secondary non-tertiary education
380,64,1,1,,5,hebrew,female,White,Post-secondary non-tertiary education
381,25,1,1,,5,"עברית, אנגלית",female,White,Post-secondary non-tertiary education
382,29,2,4,הונגרי,5,הונגרית,male,"East Asian Chinese, Japanese, etc.",Post-secondary non-tertiary education
383,26,1,1,,5,עברית,female,White,Post-secondary non-tertiary education
384,30,1,4,ללא,5,רוסית,female,"East Asian Chinese, Japanese, etc.",Post-secondary non-tertiary education
385,24,1,1,,4,עברית,female,White,Upper secondary education
386,21,1,1,,4,רוסית,female,White,Upper secondary education
387,27,1,1,,5,Hebrew,female,White,Post-secondary non-tertiary education
388,25,2,1,,5,hebrew(עברית),male,White,Post-secondary non-tertiary education
389,26,1,1,,5,רוסית,female,White,Post-secondary non-tertiary education
391,37,2,1,1,4,hebrew(עברית),male,White,Upper secondary education
392,29,1,1,,5,עברית,female,White,Post-secondary non-tertiary education
393,22,1,1,,5,עברית,female,White,Post-secondary non-tertiary education
394,20,1,1,,4,hebrew,female,White,Upper secondary education
396,43,2,1,,5,רוסית,male,White,Post-secondary non-tertiary education
397,27,1,1,,5,Hebrew,female,White,Post-secondary non-tertiary education
398,45,2,1,,5,עברית,male,White,Post-secondary non-tertiary education
399,39,1,1,,6,Hebrew,female,White,Short-cycle tertiary education
400,43,1,1,,5,Hebrew ,female,White,Post-secondary non-tertiary education
401,22,1,2,,5,ערבית,female,Black,Post-secondary non-tertiary education
402,43,1,1,,6,russian,female,White,Short-cycle tertiary education
403,28,1,1,,4,עברית,female,White,Upper secondary education
405,35,2,1,,4,עברית,male,White,Upper secondary education
406,49,2,1,,7,עברית,male,White,Bachelor or equivalent
407,42,2,1,,5,HEBREW,male,White,Post-secondary non-tertiary education
408,20,2,1,,4,Russian ,male,White,Upper secondary education
409,19,1,1,,4,עברית,female,White,Upper secondary education
410,19,1,1,,4,אנגלית,female,White,Upper secondary education
411,25,2,1,,4,עברית,male,White,Upper secondary education
412,23,1,1,,4,עברית,female,White,Upper secondary education
413,22,2,2,,4,ערבית,male,Black,Upper secondary education
414,39,2,1,,6,hebrew,male,White,Short-cycle tertiary education
415,35,1,1,,6,אנגלית,female,White,Short-cycle tertiary education
416,28,2,1,,4,עברית,male,White,Upper secondary education
417,26,1,1,,5,עברית,female,White,Post-secondary non-tertiary education
418,21,2,1,,4,עברית,male,White,Upper secondary education
419,25,1,1,,5,עברית,female,White,Post-secondary non-tertiary education
420,52,1,1,,7,אנגלית+עברית,female,White,Bachelor or equivalent
421,67,1,1,,5,Hebrew,female,White,Post-secondary non-tertiary education
422,36,2,1,,5,עברית,male,White,Post-secondary non-tertiary education
423,24,2,1,,4,עברית,male,White,Upper secondary education
424,27,2,1,,4,עברית,male,White,Upper secondary education
425,51,2,1,,5,עברית,male,White,Post-secondary non-tertiary education
426,30,1,1,,4,עברית,female,White,Upper secondary education
427,57,1,1,,6,אנגלית,female,White,Short-cycle tertiary education
428,55,2,1,,4,עברית ,male,White,Upper secondary education
429,28,1,1,,6,עברית,female,White,Short-cycle tertiary education
