,Age,Gender,Race,Race_alternative,Highest education,First language,Gender_label,Highest education_label
251,22,1,6,,7,Espa?ol,female,Bachelor or equivalent
252,19,2,4,,7,espa?ol,male,Bachelor or equivalent
253,21,2,7,Latinoamericano,5,Espa?ol,male,Post-secondary non-tertiary education
254,24,1,4,,8,Espa?ol,female,Master or equivalent
255,27,1,4,,8,Espa?ol,female,Master or equivalent
256,24,1,6,,8,Espa?ol,female,Master or equivalent
257,28,2,4,,8,Espa?ol,male,Master or equivalent
258,23,1,6,,7,espa?ol,female,Bachelor or equivalent
259,25,1,6,,7,Espa?ol,female,Bachelor or equivalent
262,28,2,6,,8,Espa?ol,male,Master or equivalent
263,23,2,4,,7,Espa?ol,male,Bachelor or equivalent
264,23,2,4,,7,Espa?ol,male,Bachelor or equivalent
265,24,2,6,,7,Espa?ol,male,Bachelor or equivalent
267,21,2,4,,7,Espa?ol,male,Bachelor or equivalent
268,30,2,6,,7,Espa?ol,male,Bachelor or equivalent
269,31,1,6,,8,Espa?ol,female,Master or equivalent
270,26,2,6,,7,Espa?ol,male,Bachelor or equivalent
271,44,1,7,Latino,8,Espa?ol,female,Master or equivalent
273,22,2,4,,7,Espa?ol,male,Bachelor or equivalent
275,23,2,4,,8,Espa?ol,male,Master or equivalent
276,33,1,4,,8,Espa?ol,female,Master or equivalent
277,31,2,4,,8,spanish,male,Master or equivalent
278,23,2,6,,7,Espa?ol,male,Bachelor or equivalent
279,26,2,4,,7,Espa?ol,male,Bachelor or equivalent
280,23,2,4,,4,Espa?ol,male,Upper secondary education
281,30,2,6,,8,Espa?ol,male,Master or equivalent
282,41,2,3,,5,Espa?ol,male,Post-secondary non-tertiary education
283,21,2,6,,7,Espa?ol,male,Bachelor or equivalent
284,23,1,4,,5,Espa?ol ,female,Post-secondary non-tertiary education
285,26,2,4,,7,Espa?ol,male,Bachelor or equivalent
286,31,2,4,,8,castellano,male,Master or equivalent
287,40,2,6,,6,Espa?ol,male,Short-cycle tertiary education
288,25,1,4,,7,espa?ol,female,Bachelor or equivalent
289,21,2,4,,7,Espa?ol ,male,Bachelor or equivalent
291,24,1,4,,6,Espa?ol,female,Short-cycle tertiary education
292,60,2,6,,8,Espa?ol,male,Master or equivalent
293,25,1,4,,7,Espa?ol,female,Bachelor or equivalent
294,30,1,4,,8,espa?ol,female,Master or equivalent
295,21,2,4,,7,Espa?ol,male,Bachelor or equivalent
296,25,2,4,,5,espa?ol,male,Post-secondary non-tertiary education
297,21,2,7,Latin ,7,Espa?ol,male,Bachelor or equivalent
298,25,2,4,,7,Espa?ol,male,Bachelor or equivalent
299,30,2,6,,8,Espa?ol,male,Master or equivalent
300,34,2,4,,8,Espa?ol,male,Master or equivalent
302,23,2,6,,8,Espa?ol,male,Master or equivalent
303,29,1,4,,8,Espa?ol,female,Master or equivalent
