,Age,Gender,Race,Race_alternative,Highest education,First language,Gender_label,Highest education_label
119,26,2,1,,5,Português,male,Bachelor or equivalent
120,28,2,1,,6,Português,male,Master or equivalent
121,19,1,1,,3,Português,female,Lower secondary education
122,22,2,1,,5,Português,male,Bachelor or equivalent
123,38,1,1,,5,português,female,Bachelor or equivalent
124,19,2,1,,3,Português,male,Lower secondary education
125,22,2,1,,5,português,male,Bachelor or equivalent
126,21,1,1,,5,português,female,Bachelor or equivalent
127,21,2,1,,5,Português,male,Bachelor or equivalent
128,23,1,1,,5,"Ingles, Portugues",female,Bachelor or equivalent
129,27,1,1,,6,Portugues,female,Master or equivalent
130,37,1,1,,5,Português,female,Bachelor or equivalent
131,21,1,1,,5,Português,female,Bachelor or equivalent
132,20,1,1,,3,Português,female,Lower secondary education
133,34,2,1,,5,Portugues,male,Bachelor or equivalent
134,19,1,1,,5,portugues,female,Bachelor or equivalent
135,22,1,1,,5,português europeu,female,Bachelor or equivalent
136,26,2,1,,5,Português,male,Bachelor or equivalent
137,21,2,1,,5,Português,male,Bachelor or equivalent
138,30,2,1,,6,Português,male,Master or equivalent
139,25,2,1,,6,Português,male,Master or equivalent
140,27,2,1,,6,Portuguese,male,Master or equivalent
141,25,2,1,,5,Português,male,Bachelor or equivalent
142,50,2,1,,3,Portugues,male,Lower secondary education
143,22,2,1,,5,Portuguese,male,Bachelor or equivalent
144,24,2,1,,5,Portuguesa,male,Bachelor or equivalent
145,22,1,1,,5,Português,female,Bachelor or equivalent
146,30,1,1,,6,Portuguese,female,Master or equivalent
147,27,1,1,,5,Portuguese,female,Bachelor or equivalent
148,21,1,1,,5,Português,female,Bachelor or equivalent
149,25,2,1,,5,Portuguese,male,Bachelor or equivalent
150,22,2,1,,5,Português,male,Bachelor or equivalent
151,50,1,1,,4,Português,female,Lower secondary education
153,22,1,1,,5,português,female,Bachelor or equivalent
154,20,2,1,,4,Portugues,male,Lower secondary education
155,28,2,1,,6,Português ,male,Master or equivalent
156,40,2,1,,5,Português,male,Bachelor or equivalent
157,20,2,1,,5,Português,male,Bachelor or equivalent
158,20,2,1,,3,Portuguese,male,Lower secondary education
