code1,Country,InterdependentSubsistenceStyleComposite1990,InterdependentSubsistenceStyleComposite2000,HistoricalDiseasePrevalence7Items,ZIndividualismHofstede,Continent,Continent7,Continent8,Continent9,Continent10,LanguageFamilies,TightnessGelfand2021,TightnessGelfand2021ControllingPercentMuslim,TightnessControllingPercentMuslim,TightnessImputed,RelationalMobility,RelationalMobilityImputed,PercentMuslim,PercentMuslimSquared,RiceHarvestedAreaPerCerealProduc,RiceHarvestedAreaPerCerealProducSquared,RiceHarvestedAreaPerCerealProducBins,TotalPopulation,PopulationDensity,PopulationDensityLog,InternationalTrade,PopulationOver65,FreedomIndex,GiniInequality,GDPPerCapita2011PPP,GDPPerCapita2011PPP10k,LogGDPPerCapita2011PPP,GDP_2018,PercentPastureLand1961,ProportionPastureLand1990,MedianAge_2020_UN,Pop_Density2020_UN,Population_2020_UN,Region,PercentUrban,GlobalCollectivismIndex,filter_$
64,Gabon, , ,1.19, ,1,1,1,1,1,1, , , , , , ,10,100,0.01,0.0001,0,1846.791,7.167273256,1.969525283,81.08595764,3.813268185,30.4,0.407850415, , , , ,19.6, , , , , , ,0.6, 
65,Gambia, , ,0.92, ,1,1,1, , ,1, , , , , , ,95.7,9158.49,0.02,0.0004,0,2000.337,197.6618676,5.286557831,49.37972126,2.650748491,29.6,0.44407472,42692,4.2692,10.66176683, , ,0.15, , , , , ,1.18, 
66,Georgia,0.002,0.002,0.16, ,2,2,2,2,2,15, , , , , , ,10.7,114.49,0,0,0,4049.901,65.48662479,4.18184592,94.43484031,14.38176823,61.7,0.398588747, , , ,12004.57383,30.22, ,38.268,57.40646136,3899,Europe & Central Asia,58.632,0.2,1
67,Germany,0.262, ,-0.78,0.94,3,3,3,3,3,3,0.12889995,0.166082994,0.166082994,0.12889995,-0.011,-0.011,5.7,32.49,0,0,0,81594.4,233.763526,5.454310032,83.96990238,20.97282219,95.2,0.286156058,26141,2.6141,10.17126024,53074.54012,19.05,0.4,45.744,240.3716577,82540,Europe & Central Asia,77.312,-1.35, 
68,Ghana,-0.346,-0.342,1.19, ,1,1,1,1,1,1,1.242676502,1.197076294,1.197076294,1.242676502, , ,18,324,0.02,0.0004,0,26938.66,118.3908596,4.77399152,74.3564231,2.954007149,83.4,0.434941858, , , ,4746.684995,36.92, ,21.507,136.560363,30734,Sub-Saharan Africa,56.06,0.3,1
69,Greece,0.283,0.328,0.29,-0.37,3,3,3,3,3,3,-0.278680907,-0.241497863,-0.241497863,-0.278680907, , ,5.7,32.49,0.02,0.0004,0,10726.57,84.81016835,4.440415445,61.43198708,20.27250862,84.7,0.331321359, , , , ,40.42, , , , , , ,-0.62,1
70,Grenada, , ,-0.53, ,6,6,6,6,6,3, , , , , , ,0.3,0.09, , , , ,319.2717647,5.766042667,89.4529894, ,88.9,0.437766999, , , , ,8.82, , , , , , ,-0.02, 
71,Guatemala,-0.215,-0.215,0.56,-1.56,6,5,5,5,5,3, , , , , ,0.359,0.1,0.01,0.01,0.0001,0,15768.36,141.6042441,4.953036153,54.5504951,4.466398716,55.2,0.460793436, , , ,8462.374008,10.36, ,22.881,167.185209,17911,Latin America & Caribbean,51.054,0.79,1
73,Guinea, , ,1.06, ,1,1,1,1,1,1, , , , , , ,89.1,7938.81,0.06,0.0036,0,11092.53,45.14297493,3.809834674,89.0468705,2.957273722,39.6,0.400622547, , , , ,43.55, , , , , , ,1.53, 
74,Guinea-Bissau, , ,1.06, ,1,1,1,1,1,1, , , , , , ,45.1,2034.01,0.09,0.0081,0,1673.728,59.52090327,4.086327566,53.39013235,2.713806152,40,0.441236109, , , , ,38.41, , , , , , , , 
