"Data Source","World Development Indicators",

"Last Updated Date","2022-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Algeria","DZA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","168.719345092773","","","","","","","","","","","","819.342712402344","","","","",
"East Asia & Pacific (excluding high income)","EAP","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","416.57739375049","433.061038110495","364.814513253621","389.432127323508","488.488187682891","493.497346571614","532.037019478178","604.759855595811","696.287181433116","771.792849252684","903.670684617166","965.070567424661","1164.84817947714","687.264848338938","896.527324074014","897.723517720043","1030.62702080848","979.352414934456","1102.96504452655","1060.52848278423","1061.14188882113","1027.10922743835","1088.4602981589","1251.19053651978","1347.31650910134","",
"Early-demographic dividend","EAR","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","182.042338159888","","","","","","","","","","318.23176201084","","","334.66722810004","","","",
"East Asia & Pacific","EAS","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","887.173507669164","871.068871712694","860.486934646434","848.501784733525","925.347044570846","901.211459524811","966.175964604863","1053.96106108096","1206.4766742765","1234.85666523677","1436.09122120359","1431.79215633929","1666.40152247227","1112.56926951406","1454.89994158822","1382.51550119238","1550.99380481407","1455.53616171467","1630.46338347345","1536.80333598249","1517.40542407203","1484.61349206095","1535.44383076031","1716.02896120961","1826.76497001051","",
"Europe & Central Asia (excluding high income)","ECA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2169.53022251676","2130.31041566421","2099.82235680675","2003.92768210617","1939.42566386248","1892.3377187775","1876.4573602101","1880.75679786269","1905.5659060878","1896.93021627846","1885.07489395642","1884.48936201304","1909.6964474055","1862.00699201891","1821.31387129623","1842.16926694576","1824.26697605076","1838.04444492856","",
"Europe & Central Asia","ECS","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2287.9478111895","2247.28390142562","2188.38671454916","2283.05325651378","2270.03299845395","2342.49347480533","2350.34603268814","2414.81572567564","2532.31515661843","2581.89627685113","2572.39479237595","2569.37569178455","2638.954709197","2660.35150990909","2711.1312036707","2736.07680075153","2812.0263229603","2846.24009527621","2882.36244192766","2996.22356320724","3011.55201376512","3129.48647061355","3210.26110855128","3293.26689367414","3191.87799646536","",
"Ecuador","ECU","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.9943084716797","77.9821624755859","83.1253204345703","","","39.7997093200684","41.845890045166","48.2434997558594","","","70.0599670410156","64.6309509277344","102.60710144043","117.684036254883","140.580627441406","179.507690429688","281.166564941406","350.661102294922","399.489959716797","","","","","","","",
"Egypt, Arab Rep.","EGY","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","630.981201171875","438.603973388672","433.328247070313","492.405639648438","491.763488769531","517.143493652344","539.021423339844","675.242248535156","672.940673828125","689.24609375","677.100219726563","686.717407226563","824.976318359375","837.979736328125","",
"Euro area","EMU","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2140.52163146469","2103.51302463702","2186.17582789292","2241.71218130329","2388.18633838303","2411.36790733904","2501.73413267123","2502.4678975322","2731.13138013232","2761.75223338363","2881.46395444987","2995.12148802431","3174.00018141778","3250.44595295523","3359.60356861801","3397.92264331501","3531.19273676285","3584.13250745823","3616.47311120932","3779.12846021981","3872.56311843104","4045.3607221995","4207.69090120594","4364.56240938654","4443.77738419093","",
"Eritrea","ERI","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
