,Q39_1_1,Q39_1_2,Q39_1_3,Q39_1_4,Q40_1_1,Q40_1_2,Q40_1_3,Q40_1_4,Q40_1_5,subject
391,4.0,46.0,78.0,100.0,5.0,5.0,68.0,80.0,8.0,391
392,5.0,5.0,74.0,98.0,4.0,11.0,86.0,94.0,21.0,392
394,7.0,8.0,97.0,96.0,8.0,8.0,98.0,96.0,39.0,394
396,13.0,34.0,77.0,92.0,8.0,18.0,100.0,78.0,28.0,396
397,6.0,6.0,67.0,95.0,3.0,9.0,80.0,98.0,17.0,397
398,39.0,51.0,38.0,96.0,1.0,14.0,97.0,98.0,24.0,398
401,19.0,28.0,48.0,72.0,10.0,26.0,68.0,86.0,41.0,401
402,1.0,57.0,98.0,100.0,4.0,20.0,84.0,100.0,43.0,402
404,27.0,41.0,93.0,83.0,2.0,1.0,100.0,100.0,1.0,404
405,5.0,35.0,37.0,100.0,6.0,12.0,95.0,100.0,25.0,405
406,1.0,58.0,63.0,59.0,3.0,4.0,74.0,88.0,5.0,406
411,18.0,40.0,87.0,81.0,1.0,2.0,100.0,100.0,2.0,411
412,5.0,39.0,34.0,100.0,22.0,12.0,92.0,98.0,19.0,412
415,39.0,59.0,84.0,74.0,7.0,8.0,69.0,91.0,11.0,415
416,42.0,33.0,32.0,100.0,10.0,16.0,100.0,73.0,13.0,416
418,41.0,63.0,97.0,83.0,5.0,14.0,82.0,98.0,31.0,418
419,1.0,80.0,71.0,91.0,5.0,8.0,75.0,82.0,16.0,419
421,13.0,35.0,65.0,83.0,7.0,10.0,99.0,99.0,7.0,421
422,27.0,31.0,52.0,100.0,4.0,3.0,78.0,94.0,5.0,422
425,18.0,10.0,83.0,100.0,4.0,2.0,100.0,100.0,3.0,425
426,4.0,5.0,61.0,100.0,4.0,8.0,62.0,93.0,9.0,426
427,8.0,24.0,73.0,100.0,6.0,18.0,87.0,100.0,37.0,427
428,2.0,35.0,38.0,77.0,7.0,14.0,100.0,100.0,38.0,428
429,14.0,36.0,60.0,89.0,6.0,19.0,62.0,89.0,36.0,429
430,7.0,33.0,73.0,96.0,6.0,14.0,67.0,90.0,33.0,430
433,21.0,57.0,81.0,100.0,1.0,3.0,100.0,100.0,9.0,433
434,2.0,23.0,50.0,95.0,3.0,9.0,95.0,95.0,14.0,434
435,25.0,22.0,77.0,100.0,4.0,11.0,84.0,100.0,28.0,435
436,25.0,74.0,84.0,68.0,5.0,15.0,81.0,97.0,32.0,436
440,15.0,75.0,65.0,84.0,5.0,2.0,71.0,78.0,3.0,440
